Node identifier 1,Bodysite 1,Clade 1,Node  identifier 2,Bodysite 2,Clade 2,Houston p-value Spearman,Houston p-value Pearson,Houston p-value Bray-Curtis,Houston p-value Kullback-Leibler,St.Louis p-value Spearman,St.Louis p-value Pearson,St.Louis p-value Bray-Curtis,St.Louis p-value Kullback-Leibler,Houston p-value GBLM,St.Louis p-value GBLM,Fisher-merge p-value,Houston GBLM beta,St.Louis GBLM beta,Houston Spearman interaction type,Houston Pearson interaction type,Houston Bray-Curtis interaction type,Houston Kullback-Leibler interaction type,St.Louis Spearman interaction type,St.Louis Pearson interaction type,St.Louis Bray-Curtis interaction type,St.Louis Kullback-Leibler interaction type,Simes-merge p-value,Fisher-merge FDR-corrected p-value,Simes-merge FDR-corrected p-value,Number of dataset- or method-specific networks supporting relationship,Direction,Relationship between the same clade in different bodysites,Relationship within the same bodysite,GBLM supports relationship,"Ensemble (Pearson, Spearman, KLD or BC) supports relationship"
Throat|Fusobacteriaceae-Fusobacterium,Throat,Fusobacteriaceae-Fusobacterium,Tongue_dorsum|Streptococcaceae-Streptococcus,Tongue-dorsum,Streptococcaceae-Streptococcus,"2,86E-05","5,65E-12",None,None,None,None,None,None,None,None,"6,03E-15",NA,NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"5,65E-11","1,57E-12","1,11E-08",2,-2,,,0,
Throat|Fusobacteriaceae-Fusobacterium,Throat,Fusobacteriaceae-Fusobacterium,Tongue_dorsum|Prevotellaceae-Prevotella,Tongue-dorsum,Prevotellaceae-Prevotella,None,None,None,None,None,None,None,None,"1,09E-20","0,00227436","1,32E-21","-0,055881","-0,115293",nan,nan,nan,nan,nan,nan,nan,nan,"1,09E-19","8,09E-19","6,65E-17",2,-2,,,1,0
Throat|Fusobacteriaceae-Fusobacterium,Throat,Fusobacteriaceae-Fusobacterium,Tongue_dorsum|Bacilli-Lactobacillales,Tongue-dorsum,Bacilli-Lactobacillales,"2,27E-05","9,14E-12",None,None,None,None,None,None,"1,09E-20",None,"7,81E-33","-0,0565543",NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"1,09E-19","1,22E-29","6,65E-17",3,-3,,,,1
Throat|Fusobacteriaceae-Fusobacterium,Throat,Fusobacteriaceae-Fusobacterium,Tongue_dorsum|Clostridia-unclassified,Tongue-dorsum,Clostridia-unclassified,None,None,None,None,None,None,None,None,"1,09E-20","0,000559452","3,33E-22","0,00367403","0,00741177",nan,nan,nan,nan,nan,nan,nan,nan,"1,09E-19","2,23E-19","6,65E-17",2,2,,,,0
Throat|Fusobacteriaceae-Fusobacterium,Throat,Fusobacteriaceae-Fusobacterium,Saliva|Fusobacteriales-Fusobacteriaceae,Saliva,Fusobacteriales-Fusobacteriaceae,"0,0216746841","0,4852705682",None,None,None,None,None,None,"5,10E-15",None,"3,97E-14","0,541722",NA,copresence,mutualExclusion,nan,nan,nan,nan,nan,nan,"5,10E-14","9,56E-12","1,45E-11",3,1,,,,1
Throat|Fusobacteriaceae-Fusobacterium,Throat,Fusobacteriaceae-Fusobacterium,Tongue_dorsum|Fusobacteriaceae-Fusobacterium,Tongue-dorsum,Fusobacteriaceae-Fusobacterium,"0,0105280482","0,4324989855",None,None,None,None,None,None,"1,09E-20","0,000559452","9,94E-22","0,433684","0,650065",copresence,copresence,nan,nan,nan,nan,nan,nan,"1,09E-19","6,28E-19","6,65E-17",4,4,1,,,
Throat|Firmicutes-unclassified,Throat,Firmicutes-unclassified,Throat|Clostridiales-unclassified,Throat,Clostridiales-unclassified,None,None,None,None,None,None,None,None,"2,35E-08","0,000601723","3,68E-10","0,0778745","0,00608282",nan,nan,nan,nan,nan,nan,nan,nan,"2,35E-07","5,08E-08","2,38E-05",2,2,0,1,,0
Vaginal_introitus|Clostridia-Clostridiales,Vaginal-introitus,Clostridia-Clostridiales,Vaginal_introitus|Bacteria-Bacteroidetes,Vaginal-introitus,Bacteria-Bacteroidetes,"1,31E-06","8,73E-06",None,None,"0,0028024216","4,35E-06",None,None,"0,000694663","1,67E-05","1,31E-20","0,0598658","0,124542",copresence,copresence,nan,nan,copresence,copresence,nan,nan,"1,31E-05","7,02E-18","0,0009260549",6,6,,,,1
Vaginal_introitus|Clostridia-Clostridiales,Vaginal-introitus,Clostridia-Clostridiales,Vaginal_introitus|Bacteroidia-Bacteroidales,Vaginal-introitus,Bacteroidia-Bacteroidales,"8,24E-07","1,17E-05",None,None,"0,0004664442","2,25E-06",None,None,None,"2,04E-07","1,31E-21",NA,"0,169898",copresence,copresence,nan,nan,copresence,copresence,nan,nan,"2,04E-06","8,03E-19","0,000172196",5,5,,,,
R_Retroauricular_crease|Actinobacteria-Actinobacteria,R-Retroauricular-crease,Actinobacteria-Actinobacteria,Anterior_nares|Actinobacteria-Actinomycetales,Anterior-nares,Actinobacteria-Actinomycetales,None,None,"0,0008285471","2,50E-07",None,None,None,None,None,None,"4,83E-09",NA,NA,nan,nan,copresence,copresence,nan,nan,nan,nan,"2,50E-06","5,33E-07","0,000207994",2,2,,0,0,
R_Retroauricular_crease|Actinobacteria-Actinobacteria,R-Retroauricular-crease,Actinobacteria-Actinobacteria,R_Retroauricular_crease|Firmicutes-Bacilli,R-Retroauricular-crease,Firmicutes-Bacilli,"0,0594296153","0,1089067785",None,None,"0,062266065","0,1014240445",None,None,"3,86E-07","8,95E-06","8,78E-11","-1,76197","-1,83648",mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"3,86E-06","1,35E-08","0,0003092684",6,-6,,1,1,
R_Retroauricular_crease|Actinobacteria-Actinobacteria,R-Retroauricular-crease,Actinobacteria-Actinobacteria,L_Retroauricular_crease|Bacilli-Bacillales,L-Retroauricular-crease,Bacilli-Bacillales,"1,34E-06","4,20E-06",None,None,"2,66E-05","2,70E-06",None,None,None,None,"8,52E-18",NA,NA,mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"1,34E-05","3,25E-15","0,0009422929",4,-4,,0,0,
R_Retroauricular_crease|Actinobacteria-Actinobacteria,R-Retroauricular-crease,Actinobacteria-Actinobacteria,R_Retroauricular_crease|Bacteria-Firmicutes,R-Retroauricular-crease,Bacteria-Firmicutes,"0,040410891","0,0627706064",None,None,"0,0259814495","0,0541126634",None,None,"3,66E-07","0,000268032","1,93E-10","-0,31391","-1,71932",mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"3,66E-06","2,81E-08","0,0002955997",6,-6,,1,1,
R_Retroauricular_crease|Actinobacteria-Actinobacteria,R-Retroauricular-crease,Actinobacteria-Actinobacteria,L_Retroauricular_crease|Actinobacteria-Actinomycetales,L-Retroauricular-crease,Actinobacteria-Actinomycetales,"0,0098461639","0,01937511","1,37E-25","1,08E-34","0,0453704054","0,0156894908","4,26E-12","5,72E-25",None,None,"3,76E-89",NA,NA,copresence,copresence,copresence,copresence,copresence,copresence,copresence,copresence,"1,08E-33","6,56E-85","2,22E-30",8,8,,0,0,
R_Retroauricular_crease|Actinobacteria-Actinobacteria,R-Retroauricular-crease,Actinobacteria-Actinobacteria,L_Retroauricular_crease|Bacillales-Staphylococcaceae,L-Retroauricular-crease,Bacillales-Staphylococcaceae,"1,86E-06","4,00E-06",None,None,"2,85E-05","3,42E-06",None,None,None,None,"1,48E-17",NA,NA,mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"1,33E-05","5,51E-15","0,000940883",4,-4,,,,
R_Retroauricular_crease|Actinobacteria-Actinobacteria,R-Retroauricular-crease,Actinobacteria-Actinobacteria,L_Retroauricular_crease|Firmicutes-Bacilli,L-Retroauricular-crease,Firmicutes-Bacilli,"5,35E-07","1,49E-06",None,None,"2,20E-05","2,47E-06",None,None,None,"0,000257863","6,37E-21",NA,"-0,0844739",mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"5,35E-06","3,56E-18","0,0004152654",5,-5,,,1,
R_Retroauricular_crease|Actinobacteria-Actinobacteria,R-Retroauricular-crease,Actinobacteria-Actinobacteria,L_Retroauricular_crease|Bacteria-Firmicutes,L-Retroauricular-crease,Bacteria-Firmicutes,"8,43E-07","7,18E-07",None,None,"2,55E-06","6,19E-08",None,None,None,None,"3,21E-21",NA,NA,mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"6,19E-07","1,91E-18","5,80E-05",4,-4,,,0,
Mid_vagina|Bacteria-unclassified,Mid-vagina,Bacteria-unclassified,Anterior_nares|Cardiobacteriales-Cardiobacteriaceae,Anterior-nares,Cardiobacteriales-Cardiobacteriaceae,None,None,None,None,None,None,None,None,"1,89E-05","0,00170626","5,88E-07","-0,286487","-0,0381177",nan,nan,nan,nan,nan,nan,nan,nan,"0,00018892","4,37E-05","0,0096921261",2,-2,,,1,0
Saliva|Clostridiales-Peptostreptococcaceae,Saliva,Clostridiales-Peptostreptococcaceae,Hard_palate|Bacteroidales-Porphyromonadaceae,Hard-palate,Bacteroidales-Porphyromonadaceae,None,None,None,None,None,None,None,None,"0,000588878","5,46E-12","1,10E-13","0,0907689","0,121418",nan,nan,nan,nan,nan,nan,nan,nan,"5,46E-11","2,51E-11","1,07E-08",2,2,,,,
Saliva|Clostridiales-Peptostreptococcaceae,Saliva,Clostridiales-Peptostreptococcaceae,Throat|Peptostreptococcaceae-Peptostreptococcus,Throat,Peptostreptococcaceae-Peptostreptococcus,None,None,None,None,None,None,None,None,"8,25E-06","0,00792314","1,15E-06","0,154509","0,0341335",nan,nan,nan,nan,nan,nan,nan,nan,"8,25E-05","7,96E-05","0,0047328457",2,2,,,,
Anterior_nares|Neisseriaceae-Stenoxybacter,Anterior-nares,Neisseriaceae-Stenoxybacter,Anterior_nares|Neisseriaceae-unclassified,Anterior-nares,Neisseriaceae-unclassified,None,None,None,None,None,None,None,None,"7,28E-05","0,000199267","2,76E-07","0,124107","0,089818",nan,nan,nan,nan,nan,nan,nan,nan,"0,000727825","2,20E-05","0,0306431245",2,2,,1,,
Tongue_dorsum|Clostridiales-IncertaeSedisXI,Tongue-dorsum,Clostridiales-IncertaeSedisXI,Tongue_dorsum|Peptococcaceae-Peptococcus,Tongue-dorsum,Peptococcaceae-Peptococcus,None,None,None,None,"0,0083757222",None,None,None,"2,23E-09",None,"4,79E-10","0,232363",NA,nan,nan,nan,nan,copresence,nan,nan,nan,"2,23E-08","6,44E-08","2,74E-06",2,2,,,,1
Tongue_dorsum|Clostridiales-IncertaeSedisXI,Tongue-dorsum,Clostridiales-IncertaeSedisXI,Saliva|Veillonellaceae-Veillonella,Saliva,Veillonellaceae-Veillonella,None,None,None,None,None,None,None,None,"2,62E-17","0,00300721","3,54E-18","-0,0492172","-0,0045625",nan,nan,nan,nan,nan,nan,nan,nan,"2,62E-16","1,43E-15","1,02E-13",2,-2,,0,,0
Tongue_dorsum|Clostridiales-IncertaeSedisXI,Tongue-dorsum,Clostridiales-IncertaeSedisXI,Hard_palate|Fusobacteriales-Fusobacteriaceae,Hard-palate,Fusobacteriales-Fusobacteriaceae,"0,0326443235",None,None,None,None,None,None,None,"9,53E-12","3,37E-10","1,40E-19","0,0231506","0,0419667",copresence,nan,nan,nan,nan,nan,nan,nan,"9,53E-11","6,76E-17","1,78E-08",3,3,,,,1
Tongue_dorsum|Clostridiales-IncertaeSedisXI,Tongue-dorsum,Clostridiales-IncertaeSedisXI,Tongue_dorsum|Fusobacteriaceae-Fusobacterium,Tongue-dorsum,Fusobacteriaceae-Fusobacterium,None,None,None,None,None,None,None,None,"2,23E-09","4,03E-10","3,82E-17","0,154728","0,0399002",nan,nan,nan,nan,nan,nan,nan,nan,"4,03E-09","1,33E-14","5,86E-07",2,2,,1,,0
Tongue_dorsum|Veillonellaceae-Centipeda,Tongue-dorsum,Veillonellaceae-Centipeda,Tongue_dorsum|Clostridia-unclassified,Tongue-dorsum,Clostridia-unclassified,None,None,None,None,None,None,None,None,"0,000170208","1,71E-21","1,67E-23","0,072236","0,30734",nan,nan,nan,nan,nan,nan,nan,nan,"1,71E-20","1,27E-20","1,16E-17",2,2,,,,
Tongue_dorsum|Veillonellaceae-Centipeda,Tongue-dorsum,Veillonellaceae-Centipeda,Tongue_dorsum|Veillonellaceae-unclassified,Tongue-dorsum,Veillonellaceae-unclassified,None,None,None,None,"0,0012853655","0,0165693138",None,None,"2,09E-05","6,42E-15","8,04E-20","0,0599325","0,769598",nan,nan,nan,nan,copresence,copresence,nan,nan,"6,42E-14","4,01E-17","1,81E-11",4,4,,,,1
Vaginal_introitus|Bacteroidia-Bacteroidales,Vaginal-introitus,Bacteroidia-Bacteroidales,Vaginal_introitus|Firmicutes-Clostridia,Vaginal-introitus,Firmicutes-Clostridia,"1,42E-06","1,48E-05",None,None,"0,0007058532","1,86E-06",None,None,None,None,"4,48E-16",NA,NA,copresence,copresence,nan,nan,copresence,copresence,nan,nan,"9,28E-06","1,39E-13","0,0006815999",4,4,,,0,
Vaginal_introitus|Bacteroidia-Bacteroidales,Vaginal-introitus,Bacteroidia-Bacteroidales,Vaginal_introitus|Firmicutes-Bacilli,Vaginal-introitus,Firmicutes-Bacilli,"0,0557657492","0,0509585777",None,None,"0,2494670123","0,002835378",None,None,None,"2,04E-07","1,31E-08",NA,"-0,419694",mutualExclusion,mutualExclusion,nan,nan,mutualExclusion,mutualExclusion,nan,nan,"2,04E-06","1,32E-06","0,000172196",5,-5,,,1,
Saliva|Spirochaetales-Spirochaetaceae,Saliva,Spirochaetales-Spirochaetaceae,Saliva|Mycoplasmataceae-Mycoplasma,Saliva,Mycoplasmataceae-Mycoplasma,None,"0,0553770654",None,None,None,None,None,None,None,"1,78E-05","1,47E-05",NA,"0,0102637",nan,copresence,nan,nan,nan,nan,nan,nan,"0,000178475","0,00075932","0,0092185873",2,2,,,,
Saliva|Spirochaetales-Spirochaetaceae,Saliva,Spirochaetales-Spirochaetaceae,Buccal_mucosa|Spirochaetes-Spirochaetales,Buccal-mucosa,Spirochaetes-Spirochaetales,"0,0291256404",None,None,None,None,None,None,None,"6,10E-18",None,"7,85E-18","0,128257",NA,copresence,nan,nan,nan,nan,nan,nan,nan,"6,10E-17","3,00E-15","2,61E-14",2,2,,0,,
Tongue_dorsum|Micrococcaceae-Rothia,Tongue-dorsum,Micrococcaceae-Rothia,Tongue_dorsum|Actinomycetales-unclassified,Tongue-dorsum,Actinomycetales-unclassified,None,None,None,None,None,None,None,None,"2,73E-06","9,52E-08","7,78E-12","0,267534","0,00893711",nan,nan,nan,nan,nan,nan,nan,nan,"9,52E-07","1,38E-09","8,59E-05",2,2,,1,,0
Tongue_dorsum|Micrococcaceae-Rothia,Tongue-dorsum,Micrococcaceae-Rothia,Tongue_dorsum|Bacteroidales-unclassified,Tongue-dorsum,Bacteroidales-unclassified,None,None,None,None,None,None,None,None,"9,13E-10","9,52E-08","3,30E-15","-0,0159806","-0,132902",nan,nan,nan,nan,nan,nan,nan,nan,"9,13E-09","9,01E-13","1,21E-06",2,-2,,,,
Subgingival_plaque|Lactobacillales-Aerococcaceae,Subgingival-plaque,Lactobacillales-Aerococcaceae,Supragingival_plaque|Lactobacillales-Aerococcaceae,Supragingival-plaque,Lactobacillales-Aerococcaceae,"0,0070904394","0,3376647695",None,None,"0,0072955395",None,None,None,"9,20E-08","1,56E-05","2,48E-12","0,197158","0,113502",copresence,mutualExclusion,nan,nan,copresence,nan,nan,nan,"9,20E-07","4,80E-10","8,31E-05",5,3,1,0,,1
Supragingival_plaque|Lachnospiraceae-unclassified,Supragingival-plaque,Lachnospiraceae-unclassified,Supragingival_plaque|Veillonellaceae-Selenomonas,Supragingival-plaque,Veillonellaceae-Selenomonas,"0,0221893388",None,None,None,"0,0201313899",None,None,None,"1,60E-20",None,"1,05E-20","0,217684",NA,copresence,nan,nan,nan,copresence,nan,nan,nan,"1,60E-19","5,76E-18","9,60E-17",3,3,0,1,,
Supragingival_plaque|Lachnospiraceae-unclassified,Supragingival-plaque,Lachnospiraceae-unclassified,Supragingival_plaque|Streptococcaceae-Streptococcus,Supragingival-plaque,Streptococcaceae-Streptococcus,"0,0004415942","0,0001189389",None,None,None,None,None,None,None,None,"9,33E-07",NA,NA,mutualExclusion,mutualExclusion,nan,nan,nan,nan,nan,nan,"0,0011893894","6,63E-05","0,0461884612",2,-2,,,0,
Supragingival_plaque|Lachnospiraceae-unclassified,Supragingival-plaque,Lachnospiraceae-unclassified,Supragingival_plaque|Porphyromonadaceae-Tannerella,Supragingival-plaque,Porphyromonadaceae-Tannerella,"0,0131227291",None,None,None,"0,0113283188",None,None,None,"5,40E-06",None,"1,94E-07","0,0436725",NA,copresence,nan,nan,nan,copresence,nan,nan,nan,"5,40E-05","1,58E-05","0,0032606247",3,3,,,1,
Tongue_dorsum|Veillonellaceae-unclassified,Tongue-dorsum,Veillonellaceae-unclassified,Tongue_dorsum|Leptotrichiaceae-Leptotrichia,Tongue-dorsum,Leptotrichiaceae-Leptotrichia,None,None,None,None,None,None,None,None,"2,09E-05","0,00174417","6,62E-07","0,133497","0,0153933",nan,nan,nan,nan,nan,nan,nan,nan,"0,000209266","4,86E-05","0,0105585098",2,2,,,,0
Tongue_dorsum|Veillonellaceae-unclassified,Tongue-dorsum,Veillonellaceae-unclassified,Tongue_dorsum|Firmicutes-unclassified,Tongue-dorsum,Firmicutes-unclassified,None,None,None,None,None,None,None,None,"2,09E-05","0,00117607","4,56E-07","0,0383005","0,0257122",nan,nan,nan,nan,nan,nan,nan,nan,"0,000209266","3,46E-05","0,0105585098",2,2,,,,
Tongue_dorsum|Veillonellaceae-unclassified,Tongue-dorsum,Veillonellaceae-unclassified,Tongue_dorsum|Bacilli-Bacillales,Tongue-dorsum,Bacilli-Bacillales,None,None,None,None,"0,0004543739",None,None,None,"2,09E-05",None,"1,85E-07","-0,0384391",NA,nan,nan,nan,nan,mutualExclusion,nan,nan,nan,"0,000209266","1,52E-05","0,0105585098",2,-2,,,,1
Tongue_dorsum|Veillonellaceae-unclassified,Tongue-dorsum,Veillonellaceae-unclassified,Tongue_dorsum|Porphyromonadaceae-Tannerella,Tongue-dorsum,Porphyromonadaceae-Tannerella,None,None,None,None,None,None,None,None,"2,09E-05","6,51E-11","4,80E-14","0,0102272","0,189871",nan,nan,nan,nan,nan,nan,nan,nan,"6,51E-10","1,13E-11","1,08E-07",2,2,,,,0
Tongue_dorsum|Veillonellaceae-unclassified,Tongue-dorsum,Veillonellaceae-unclassified,Tongue_dorsum|Epsilonproteobacteria-Campylobacterales,Tongue-dorsum,Epsilonproteobacteria-Campylobacterales,None,None,None,None,None,None,None,None,"1,92E-12","8,91E-07","7,15E-17","0,00659227","0,0372062",nan,nan,nan,nan,nan,nan,nan,nan,"1,92E-11","2,37E-14","4,06E-09",2,2,,,,
Buccal_mucosa|Spirochaetaceae-Treponema,Buccal-mucosa,Spirochaetaceae-Treponema,Keratinized_gingiva|Bacteria-Proteobacteria,Keratinized-gingiva,Bacteria-Proteobacteria,None,None,None,None,None,None,None,None,"1,93E-05","4,18E-05","1,77E-08","-0,014784","-0,0212198",nan,nan,nan,nan,nan,nan,nan,nan,"0,000193128","1,76E-06","0,0098622913",2,-2,,0,,
Buccal_mucosa|Spirochaetaceae-Treponema,Buccal-mucosa,Spirochaetaceae-Treponema,Buccal_mucosa|Veillonellaceae-Dialister,Buccal-mucosa,Veillonellaceae-Dialister,None,"0,0473940333",None,None,None,None,None,None,"2,78E-26",None,"8,29E-26","0,176303",NA,nan,copresence,nan,nan,nan,nan,nan,nan,"2,78E-25","7,41E-23","2,93E-22",2,2,,1,,1
Anterior_nares|Betaproteobacteria-unclassified,Anterior-nares,Betaproteobacteria-unclassified,Anterior_nares|Neisseriaceae-unclassified,Anterior-nares,Neisseriaceae-unclassified,None,None,None,None,None,None,None,None,"7,28E-05","0,000199267","2,76E-07","0,392832","0,111915",nan,nan,nan,nan,nan,nan,nan,nan,"0,000727825","2,20E-05","0,0306431245",2,2,,,,0
Tongue_dorsum|Erysipelotrichaceae-unclassified,Tongue-dorsum,Erysipelotrichaceae-unclassified,Hard_palate|Eubacteriaceae-Eubacterium,Hard-palate,Eubacteriaceae-Eubacterium,None,None,None,None,None,None,None,None,"0,000816643","8,14E-08","1,62E-09","0,0109657","0,0568577",nan,nan,nan,nan,nan,nan,nan,nan,"8,14E-07","1,96E-07","7,41E-05",2,2,,0,,
Buccal_mucosa|Lachnospiraceae-Catonella,Buccal-mucosa,Lachnospiraceae-Catonella,Buccal_mucosa|Lachnospiraceae-Oribacterium,Buccal-mucosa,Lachnospiraceae-Oribacterium,"0,0125590611","0,0808348927",None,None,None,"0,0370073726",None,None,"2,23E-08",None,"3,36E-09","0,238765",NA,copresence,copresence,nan,nan,nan,copresence,nan,nan,"2,23E-07","3,81E-07","2,27E-05",4,4,,1,,1
Palatine_Tonsils|TM7generaincertaesedis-unclassified,Palatine-Tonsils,TM7generaincertaesedis-unclassified,Palatine_Tonsils|Prevotellaceae-unclassified,Palatine-Tonsils,Prevotellaceae-unclassified,None,None,None,None,None,None,None,None,"3,05E-08","3,97E-08","4,28E-14","0,103178","0,00860469",nan,nan,nan,nan,nan,nan,nan,nan,"1,98E-07","1,03E-11","2,03E-05",2,2,,,,0
Supragingival_plaque|Bacteria-Firmicutes,Supragingival-plaque,Bacteria-Firmicutes,Saliva|Clostridia-Clostridiales,Saliva,Clostridia-Clostridiales,None,None,None,None,None,None,None,None,"5,08E-07","0,0115331","1,17E-07","0,0290076","0,0919725",nan,nan,nan,nan,nan,nan,nan,nan,"5,08E-06","1,00E-05","0,0003965154",2,2,,0,,
Supragingival_plaque|Bacteria-Firmicutes,Supragingival-plaque,Bacteria-Firmicutes,Tongue_dorsum|Streptococcaceae-Streptococcus,Tongue-dorsum,Streptococcaceae-Streptococcus,None,None,None,None,None,None,None,None,"3,52E-19","0,0108032","1,83E-19","0,469718","0,0628211",nan,nan,nan,nan,nan,nan,nan,nan,"3,52E-18","8,62E-17","1,79E-15",2,2,,,,
Supragingival_plaque|Bacteria-Firmicutes,Supragingival-plaque,Bacteria-Firmicutes,Supragingival_plaque|Neisseriaceae-unclassified,Supragingival-plaque,Neisseriaceae-unclassified,None,None,None,None,None,None,None,None,"2,16E-06","0,00249602","1,08E-07","-0,255781","-0,176909",nan,nan,nan,nan,nan,nan,nan,nan,"2,16E-05","9,30E-06","0,0014567935",2,-2,,1,,
Supragingival_plaque|Bacteria-Firmicutes,Supragingival-plaque,Bacteria-Firmicutes,Tongue_dorsum|Bacilli-Lactobacillales,Tongue-dorsum,Bacilli-Lactobacillales,None,None,None,None,None,None,None,None,"3,51E-15","0,00246013","3,48E-16","0,457025","0,0624544",nan,nan,nan,nan,nan,nan,nan,nan,"3,51E-14","1,09E-13","1,03E-11",2,2,,0,,
Supragingival_plaque|Bacteria-Firmicutes,Supragingival-plaque,Bacteria-Firmicutes,Supragingival_plaque|Flavobacteriales-Flavobacteriaceae,Supragingival-plaque,Flavobacteriales-Flavobacteriaceae,None,"7,06E-06",None,None,None,None,None,None,"4,85E-08",None,"1,02E-11","-0,472907",NA,nan,mutualExclusion,nan,nan,nan,nan,nan,nan,"4,85E-07","1,76E-09","4,63E-05",2,-2,,1,,1
Supragingival_plaque|Bacteria-Firmicutes,Supragingival-plaque,Bacteria-Firmicutes,Supragingival_plaque|Flavobacteriaceae-Capnocytophaga,Supragingival-plaque,Flavobacteriaceae-Capnocytophaga,None,"1,99E-05",None,None,None,None,None,None,"1,60E-08",None,"9,47E-12","-0,532701",NA,nan,mutualExclusion,nan,nan,nan,nan,nan,nan,"1,60E-07","1,65E-09","1,66E-05",2,-2,,,,
Supragingival_plaque|Bacteria-Firmicutes,Supragingival-plaque,Bacteria-Firmicutes,Subgingival_plaque|Bacteria-Firmicutes,Subgingival-plaque,Bacteria-Firmicutes,None,"0,2042428101","1,32E-35","5,04E-61",None,None,"4,64E-09",None,"2,75E-10",None,"3,46E-106","0,427813",NA,nan,mutualExclusion,copresence,copresence,nan,nan,copresence,nan,"5,04E-60","6,97E-102","7,78E-56",5,3,1,0,,
Supragingival_plaque|Comamonadaceae-unclassified,Supragingival-plaque,Comamonadaceae-unclassified,Subgingival_plaque|Betaproteobacteria-Burkholderiales,Subgingival-plaque,Betaproteobacteria-Burkholderiales,None,None,None,None,"0,0388390464",None,None,None,"1,28E-15",None,"1,92E-15","0,0107524",NA,nan,nan,nan,nan,copresence,nan,nan,nan,"1,28E-14","5,40E-13","4,07E-12",2,2,0,,,
Supragingival_plaque|Comamonadaceae-unclassified,Supragingival-plaque,Comamonadaceae-unclassified,Subgingival_plaque|Burkholderiales-Comamonadaceae,Subgingival-plaque,Burkholderiales-Comamonadaceae,"0,0197941733",None,None,None,"0,0474270119",None,None,None,"2,20E-06",None,"4,56E-07","0,122436",NA,copresence,nan,nan,nan,copresence,nan,nan,nan,"2,20E-05","3,46E-05","0,0014762088",3,3,,,,
Throat|Clostridiales-IncertaeSedisXI,Throat,Clostridiales-IncertaeSedisXI,Tongue_dorsum|IncertaeSedisXI-Parvimonas,Tongue-dorsum,IncertaeSedisXI-Parvimonas,"0,0130515509","0,4785099407",None,None,None,None,None,None,"6,49E-06",None,"6,61E-06","0,389982",NA,copresence,mutualExclusion,nan,nan,nan,nan,nan,nan,"6,49E-05","0,0003774277","0,0038283478",3,1,,,,
Throat|Clostridiales-IncertaeSedisXI,Throat,Clostridiales-IncertaeSedisXI,Throat|Clostridiales-unclassified,Throat,Clostridiales-unclassified,None,None,None,None,None,None,None,None,"2,35E-08","0,000601723","3,68E-10","0,0156042","0,0133021",nan,nan,nan,nan,nan,nan,nan,nan,"2,35E-07","5,08E-08","2,38E-05",2,2,,1,,0
Anterior_nares|Actinomycetaceae-Actinomyces,Anterior-nares,Actinomycetaceae-Actinomyces,Anterior_nares|Actinomycetales-Micrococcaceae,Anterior-nares,Actinomycetales-Micrococcaceae,None,None,None,None,"0,0230759454",None,None,None,"0,000115594","0,000131672","9,12E-08","0,173733","0,270141",nan,nan,nan,nan,copresence,nan,nan,nan,"0,00065836","7,94E-06","0,0281513229",3,3,,,,1
Tongue_dorsum|Leptotrichiaceae-Leptotrichia,Tongue-dorsum,Leptotrichiaceae-Leptotrichia,Hard_palate|Fusobacteriales-Leptotrichiaceae,Hard-palate,Fusobacteriales-Leptotrichiaceae,"0,0156799367","0,4000007797",None,None,"0,0230115418","0,4858683882",None,None,"0,000626624","1,06E-08","2,47E-10","0,457327","0,623445",copresence,mutualExclusion,nan,nan,copresence,mutualExclusion,nan,nan,"1,06E-07","3,52E-08","1,14E-05",6,2,,0,,
Hard_palate|Proteobacteria-Epsilonproteobacteria,Hard-palate,Proteobacteria-Epsilonproteobacteria,Hard_palate|Clostridia-Clostridiales,Hard-palate,Clostridia-Clostridiales,None,None,None,None,"0,0547144711",None,None,None,"8,15E-05",None,"5,94E-05","0,0976584",NA,nan,nan,nan,nan,copresence,nan,nan,nan,"0,000814856","0,0025345084","0,0336042255",2,2,,1,,
Hard_palate|Proteobacteria-Epsilonproteobacteria,Hard-palate,Proteobacteria-Epsilonproteobacteria,Throat|Proteobacteria-Epsilonproteobacteria,Throat,Proteobacteria-Epsilonproteobacteria,"0,0200938952",None,None,None,None,None,None,None,"8,35E-05",None,"2,40E-05","0,0298821",NA,copresence,nan,nan,nan,nan,nan,nan,nan,"0,000834801","0,0011605592","0,0343169886",2,2,1,0,,
